filename,Openness,Vitality,Warmth,Structural_Stability
집_9_남_13241.json,70.34923415069716,59.62,41.04248046875,90.63
집_9_남_13338.json,49.03971794343356,73.67,54.7607421875,83.94
집_9_남_12906.json,71.91255574707927,66.75,41.77197265625,88.68
집_9_남_09947.json,74.52183514182371,70.19,52.79345703125,71.14
집_9_남_07674.json,72.9842678835615,97.62,46.31103515625,89.65
집_9_남_13352.json,48.77997457026663,71.41,40.47968882888859,72.42
집_9_남_07877.json,85.27299333706955,84.45,35.72928293713805,92.31
집_9_남_13743.json,41.609807297107736,60.56,42.94620495337307,85.74
집_9_남_07596.json,51.306652784104465,74.39,45.77207665472278,84.18
집_9_남_12019.json,76.0884446157095,88.02,50.11718944535633,93.01
집_9_남_08620.json,51.569509762793196,74.48,51.459716796875,84.29
집_9_남_10472.json,78.09111247887296,62.35,45.34375,80.46
집_9_여_00268.json,55.36828171452899,73.98,57.85009765625,73.8
집_9_남_08917.json,60.0,69.05,33.43876819349315,81.0
집_9_남_11812.json,71.60596693140565,74.79,34.09983018949595,85.49
집_9_남_13386.json,88.99472292357214,77.0,27.86386145683133,76.48
집_9_남_13880.json,72.91767770938162,69.12,32.397208692320014,87.43
집_9_여_00494.json,73.6735189980447,77.46,57.462513995864825,82.13
집_9_남_07418.json,70.04453771715052,67.91,47.50767012773507,64.07
집_9_남_08843.json,75.54163285180977,68.2,31.827854388682336,74.67
집_9_남_12546.json,65.34248426058527,59.54,48.81542250359499,71.35
집_9_남_08431.json,90.0,58.39,41.9306640625,74.24
집_9_남_08533.json,64.73665836925505,78.69,24.43637580586713,84.1
집_9_남_13427.json,68.30884984172133,57.3,37.083984375,74.85
집_9_남_08030.json,76.25620324246465,81.6,50.75493518754978,67.89
집_9_남_11938.json,51.4919220925183,69.5,20.06572752011239,78.91
집_9_남_08232.json,79.61151377096708,68.33,47.63525390625,82.69
집_9_여_00354.json,77.41987120980221,78.12,17.44735786944775,95.98
집_9_남_13517.json,83.20116210516079,74.99,37.599609375,62.02
